time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-07-27T15:58:39.243Z,40.142,141.0768,10.23,4.5,mb,122,113,2.444,0.56,us,us6000ngd3,2024-07-27T21:26:15.040Z,"20 km WSW of Ichinohe, Japan",earthquake,6.78,4.136,0.053,114,reviewed,us,us
2024-07-27T15:46:59.813Z,36.474,71.135,109.955,4.1,mb,21,74,2.546,1.01,us,us6000ngd2,2024-07-27T20:39:00.040Z,"42 km WSW of Ashkāsham, Afghanistan",earthquake,5.5,13.536,0.165,10,reviewed,us,us
2024-07-27T15:19:26.703Z,67.85,-160.8382,3.7,3.5,ml,,,,0.63,ak,ak0249lwd5zr,2024-07-27T19:08:18.040Z,"88 km ESE of Red Dog Mine, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2024-07-27T14:39:07.240Z,19.0941666666667,-65.211,28.97,2.96,md,3,332,0.7855,0.37,pr,pr71456328,2024-07-27T14:58:01.540Z,"88 km N of Culebra, Puerto Rico",earthquake,4.82,29.51,0.176054577466119,2,reviewed,pr,pr
2024-07-27T13:59:00.087Z,-55.0133,-32.4298,10,5.3,mb,45,66,2.469,0.85,us,us6000ngck,2024-07-27T14:15:38.040Z,"South Georgia Island region",earthquake,10.08,1.883,0.067,74,reviewed,us,us
2024-07-27T11:21:47.180Z,21.8022,121.1803,41.973,5.1,mb,85,59,1.015,0.9,us,us6000ngc7,2024-07-27T11:39:22.040Z,"50 km ESE of Hengchun, Taiwan",earthquake,7.36,5.323,0.044,164,reviewed,us,us
2024-07-27T10:30:14.259Z,17.0942,-99.8881,19.809,5.3,mww,57,184,1.346,0.74,us,us6000ngby,2024-07-27T15:56:21.922Z,"4 km NE of Platanillo, Mexico",earthquake,3.27,4.896,0.038,65,reviewed,us,us
2024-07-27T10:20:25.816Z,-37.3197,177.3565,8.181,4.8,mb,32,169,0.794,0.92,us,us6000ngbv,2024-07-27T11:15:13.106Z,"76 km N of Opotiki, New Zealand",earthquake,4.34,6.263,0.119,23,reviewed,us,us
2024-07-27T09:27:05.730Z,12.7597,-88.4233,68.126,4.8,mww,60,146,0.712,1.13,us,us6000ngbp,2024-07-27T09:57:37.040Z,"57 km SSW of Jucuarán, El Salvador",earthquake,6.99,6.175,0.066,22,reviewed,us,us
2024-07-27T08:13:52.153Z,32.9294,16.3408,9.614,4.5,mb,58,200,3.266,0.5,us,us6000ngbi,2024-07-28T01:33:28.040Z,"132 km ENE of Mişrātah, Libya",earthquake,11.11,6.094,0.097,31,reviewed,us,us
2024-07-27T08:08:38.870Z,36.1001666666667,-89.7675,9.31,2.5,md,35,35,0.05661,0.08,nm,nm60587781,2024-07-28T04:10:10.248Z,"5 km ENE of Steele, Missouri",earthquake,0.34,0.7,0.086420525006448,33,reviewed,nm,nm
